issue_id,dataset,object,external_id,field,issue_type,severity,baseline_value,dirty_value,expected_handling,provenance
DQ-001,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-001,Title__c,whitespace_and_case,medium,Advanced Diploma in Copywriting,  ADVANCED DIPLOMA IN COPYWRITING  ,"Trim and normalise for matching, retain canonical display title in clean output.",Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-002,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-006,Title__c,whitespace_and_case,medium,Bachelor of Commerce in Marketing,  BACHELOR OF COMMERCE IN MARKETING  ,"Trim and normalise for matching, retain canonical display title in clean output.",Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-003,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-011,Title__c,whitespace_and_case,medium,Higher Certificate in Graphic Design,  HIGHER CERTIFICATE IN GRAPHIC DESIGN  ,"Trim and normalise for matching, retain canonical display title in clean output.",Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-004,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-016,Title__c,whitespace_and_case,medium,Design Thinking,  DESIGN THINKING  ,"Trim and normalise for matching, retain canonical display title in clean output.",Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-005,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-021,Title__c,whitespace_and_case,medium,Data Analysis,  DATA ANALYSIS  ,"Trim and normalise for matching, retain canonical display title in clean output.",Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-006,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-026,Title__c,whitespace_and_case,medium,Media Planning,  MEDIA PLANNING  ,"Trim and normalise for matching, retain canonical display title in clean output.",Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-007,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-031,Title__c,whitespace_and_case,medium,Data Visualisation for Designers,  DATA VISUALISATION FOR DESIGNERS  ,"Trim and normalise for matching, retain canonical display title in clean output.",Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-008,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-036,Title__c,whitespace_and_case,medium,Marketing Strategy,  MARKETING STRATEGY  ,"Trim and normalise for matching, retain canonical display title in clean output.",Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-009,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-041,Title__c,whitespace_and_case,medium,Part-Time Postgraduate Diploma in Management,  PART-TIME POSTGRADUATE DIPLOMA IN MANAGEMENT  ,"Trim and normalise for matching, retain canonical display title in clean output.",Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-010,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-046,Title__c,whitespace_and_case,medium,Brand as Capital,  BRAND AS CAPITAL  ,"Trim and normalise for matching, retain canonical display title in clean output.",Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-011,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-051,Title__c,whitespace_and_case,medium,Operational Finance,  OPERATIONAL FINANCE  ,"Trim and normalise for matching, retain canonical display title in clean output.",Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-012,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-056,Title__c,whitespace_and_case,medium,People Management,  PEOPLE MANAGEMENT  ,"Trim and normalise for matching, retain canonical display title in clean output.",Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-013,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-017,Duration_Unit__c,unit_alias,medium,Weeks,wks,Map duration aliases to a controlled unit vocabulary.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-014,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-019,Duration_Unit__c,unit_alias,medium,Weeks,wks,Map duration aliases to a controlled unit vocabulary.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-015,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-023,Duration_Unit__c,unit_alias,medium,Weeks,wks,Map duration aliases to a controlled unit vocabulary.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-016,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-027,Duration_Unit__c,unit_alias,medium,Weeks,wks,Map duration aliases to a controlled unit vocabulary.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-017,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-030,Duration_Unit__c,unit_alias,medium,Weeks,wks,Map duration aliases to a controlled unit vocabulary.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-018,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-035,Duration_Unit__c,unit_alias,medium,Years,yrs,Map duration aliases to a controlled unit vocabulary.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-019,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-016,Advertised_Fee_ZAR__c,price_outlier,high,13500,135000,Compare with screenshot/reference catalogue; assess misplaced zero before correction.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-020,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-017,Advertised_Fee_ZAR__c,price_outlier,high,13500,135000,Compare with screenshot/reference catalogue; assess misplaced zero before correction.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
DQ-021,dirty_loadable,RY_Programme_Offering__c,RY-DIRTY-OFFER-018,Advertised_Fee_ZAR__c,price_outlier,high,16500,165000,Compare with screenshot/reference catalogue; assess misplaced zero before correction.,Deliberately injected synthetic defect; not observed in Red & Yellow systems
